Query,Grouped_Intent,answer
are there grants for disability tech development?,general_info,"Yes, there are grants available for disability tech development. Check with the financial aid office for more details.,"
are midterm marks shown on lms?,general_info,"Yes, midterm results are posted under each course's LMS page."
can i access the cadaver ultrasound machines?,general_info,"Yes, you can access the cadaver ultrasound machines if you are enrolled in a relevant program. Check with the department for access.,"
are there free tax preparation services?,general_info,"Yes, free tax preparation services are available to students through the student services office during tax season.,"
what's the policy on dorm room hydroponics?,general_info,"Yes, hydroponics are allowed in dorm rooms, but they must meet safety and space requirements. Check with your dorm for policies.,"
can i use the robotics arena for competitions?,general_info,"Yes, the robotics arena can be used for competitions. Submit a request through the department to reserve it.,"
can i take a locksmithing course through the university?,general_info,FOR 205 includes certification (PPE required).
can i skip a semester?,general_info,You can take a gap with valid reason and registrar approval.
is there late-night dining?,general_info,Coffee/snacks until midnight at North Cafe
how do i apply for semester extension?,general_info,Fill the semester extension form with advisor recommendation.
what is the fine for library book damage?,general_info,The fine equals the full replacement cost of the book.
are there grants for student parents' childcare?,general_info,"Yes, there are grants available for student parents' childcare. Check with the financial aid office for more information.,"
how do i report a broken braille signage?,general_info,"Report a broken braille signage by submitting a request through the campus facilities or accessibility office.,"
what's the policy on dorm room halogen lamps?,general_info,"Halogen lamps are typically not allowed in dorm rooms due to fire hazards.,"
where is the stationery shop?,general_info,Adjacent to Library Entrance (Block A)
can i access the nuclear magnetic resonance lab?,general_info,"Yes, you can access the nuclear magnetic resonance (NMR) lab for your research with department approval.,"
can i access the crime scene investigation house?,general_info,"Access to the crime scene investigation house is typically limited to students enrolled in related courses or with special permission.,"
are there free legal name change workshops?,general_info,"Yes, free legal name change workshops are available through the student services office.,"
what's the policy on dorm room electric kettles?,general_info,"Yes, electric kettles are generally allowed in dorm rooms but must meet safety guidelines. Check with your dorm for specific rules.,"
are there part-time job opportunities for students?,general_info,Visit the Career Center job board or email hr@university.edu.pk.
are there grants for veterans' educational projects?,general_info,"Yes, there are grants for veterans' educational projects. Check with the financial aid office for more information.,"
do you sell usb drives?,general_info,"Yes, 16GB–128GB options ($5–25)"
are stamps available?,general_info,Envelopes and stamps sold at counter
what is the policy on makeup quizzes?,general_info,Makeup quizzes are subject to instructor's discretion and valid excuses.
can i access the motion capture studio?,general_info,"Yes, you can access the motion capture studio with prior approval from the media or arts department.,"
can i use the planetarium for my astronomy project?,general_info,"Yes, the planetarium can be used for astronomy projects. Submit a request through the department to reserve it.,"
what's the policy on dorm room incense?,general_info,"Incense is typically not allowed in dorm rooms due to fire safety concerns.,"
can i keep a refrigerator in my hostel room?,hostel_info,No personal appliances are allowed unless approved by the warden.
is mess facility included in hostel fee?,hostel_info,"No, mess charges are billed separately each month."
are hostel rooms cleaned regularly?,hostel_info,"Yes, weekly cleaning is provided by hostel housekeeping staff."
can i extend my hostel stay after exams?,hostel_info,Request in writing with warden approval and reason.
where can i get my hostel allocation letter?,hostel_info,From the hostel warden's office before move-in date.
are there separate hostels for male and female students?,hostel_info,"Yes, there are separate hostels with proper security for both genders."
can i change my hostel room?,hostel_info,Submit a request to hostel admin; changes allowed based on availability.
can i apply for hostel if i live nearby?,hostel_info,"No, hostel is for out-of-city students only."
is hostel entry allowed after 10 pm?,hostel_info,No entry is allowed after 10 PM without prior permission.
how can i apply for hostel accommodation?,hostel_info,Fill the hostel form from student services and submit before semester starts.
are pets allowed in hostel?,hostel_info,"No, pets are strictly not allowed in hostel premises."
what are the quiet hours in hostel?,hostel_info,Quiet hours are from 10 PM to 7 AM daily.
are university hostels available during the summer semester?,hostel_info,"Yes, but availability may be limited. You should apply in advance through the hostel office."
what facilities are provided in the hostel rooms?,hostel_info,"Hostel rooms include bed, mattress, table, chair, and cupboard."
do we have smart classrooms?,hostel_info,"Yes, most lecture halls are equipped with smart boards and projectors."
"how can i apply for a hostel room?,",hostel_info,"You can apply for a hostel room via the university portal under 'Accommodation Services'.,"
are there laundry facilities in hostels?,hostel_info,Each hostel has coin-operated machines using prepaid campus cards.
what's the policy on dorm room air conditioners?,hostel_info,"Yes, the policy on dorm room air conditioners varies by dorm. Check with your dorm for specific guidelines on air conditioning use.,"
what’s the process for hostel late check-out?,hostel_info,Get written permission 48 hours in advance from hostel admin.
where can i lodge hostel maintenance complaints?,hostel_info,Submit via Hostel Portal or at Warden Office.
are there university shuttles to hostels?,hostel_info,"Yes, hourly shuttle from 8 AM to 8 PM."
can i switch from hostel to day scholar mid-semester?,hostel_info,"Yes, request must be approved by Warden and Registrar."
are security cameras installed in hostels?,hostel_info,"Yes, all corridors and entry points have CCTV coverage."
how do i report a broken gender-neutral bathroom lock?,hostel_info,"Report a broken gender-neutral bathroom lock through campus facilities or the online maintenance system.,"
can i bring my own chair to hostel?,hostel_info,"No, only university-provided furniture is allowed in rooms."
what's the policy on dorm room 3d printers?,hostel_info,"Yes, dorm rooms may have 3D printers, but they must meet safety and space guidelines. Check with your dorm for policies.,"
how many people per hostel room?,hostel_info,2–3 depending on the room type.
are meals included in hostel fee?,hostel_info,"No, meals are charged separately at the mess."
is there a printing corner in hostel?,hostel_info,"Yes, common printing booths in Block D & F hostels."
do i need vaccination to enter hostel?,hostel_info,"Yes, vaccination certificate is mandatory post-COVID."
can i use common room after 9 pm?,hostel_info,"No, rooms close by 9 PM daily."
what is the refund policy for hostel?,hostel_info,Refunds issued if vacated within 2 weeks of semester start.
what's the policy on dorm room murals?,hostel_info,Allowed with paint that passes VOC safety tests.
can i access the clean room for nanotechnology work?,hostel_info,"Yes, the clean room can be accessed by students involved in nanotechnology research. Contact the lab coordinator for access.,"
what to do in case of hostel theft?,hostel_info,Report to hostel security immediately and file a complaint.
are there emergency exits in hostels?,hostel_info,"Yes, all hostel blocks have clearly marked emergency exits."
where can i check hostel availability for next semester?,hostel_info,Check with Hostel Admin Office or notice boards in hostels.
are there gender-neutral restrooms?,hostel_info,Located on every floor of the Student Union building.
is smoking allowed in the university hostels?,hostel_info,Smoking is strictly prohibited in all hostel areas.
are there self-study rooms in the library?,hostel_info,"Yes, available on all floors on a first-come basis."
can i reserve library study rooms?,hostel_info,"Yes, reserve via the library portal or helpdesk."
can i get a wheelchair-accessible dorm room?,hostel_info,Request through Disability Services at least 2 months before semester start.
are meditation rooms available?,hostel_info,Book 30-minute slots at the Mindfulness Center online.
how do i report a broken lactation room lock?,hostel_info,"Report a broken lactation room lock to campus facilities or via the online maintenance request portal.,"
are umbrellas allowed in the library?,library_info,"Yes, but must be placed in umbrella stands at entrance."
how to access digital library?,library_info,Login via student portal → Resources → Library Access.
how do i access the seed library for gardening?,library_info,Open spring/summer at Campus Sustainability Office.
how many books can i borrow at a time?,library_info,You can borrow up to 3 books for a maximum of 14 days.
can i use headphones in library?,library_info,"Yes, only in designated silent media rooms."
are laptops allowed in libraries?,library_info,"Yes, laptops are allowed in silent mode."
what’s the library fine per overdue book?,library_info,PKR 20 per day per book.
what happens if i don’t clear library dues?,library_info,You can’t access portal or register for new semester.
does the library remain open during summer semester for study and research?,library_info,"Yes, but hours may be limited. Check the library’s summer schedule online"
are there lockers in library for personal items?,library_info,"Yes, key-based lockers available for daily use."
can i access the law library as a non-law student?,library_info,Open to all students after 6pm with valid ID.
what are the library opening hours?,library_info,Library remains open from 8:00 AM to 6:00 PM on weekdays.
where is the main library located?,library_info,"The main library is located in Block A, beside the seminar hall."
"can alumni access the library resources?,",library_info,"Yes, alumni can access selected library resources by applying for an alumni membership card.,"
is the university library open on public holidays?,library_info,"No, the library remains closed on public holidays."
is there a fine for overdue books?,library_info,"Yes, a fine of PKR 20 per day is charged for each overdue book."
can i access library from outside campus?,library_info,"Yes, use VPN and your university login credentials."
can i get my semester schedule printed from campus?,printing_services,"Yes, visit the print lab near Block C or use the portal to download."
is there bulk printing discount?,printing_services,15% off 100+ copies (order 24h ahead)
what's the maximum pages per job?,printing_services,200 pages maximum
how long are print jobs stored?,printing_services,24 hours in queue before auto-deletion
can i print architectural plans?,printing_services,Engineering Lab only (A1–A0 sizes)
are there color printers?,printing_services,4 color printers in Library (Ground Floor)
is 3d printing available?,printing_services,Engineering Dept only ($5 base + material)
can i print architectural drawings?,printing_services,Engineering Lab only (A1–A0 sizes)
can i reuse my id to print?,printing_services,"Yes, linked to your account for access"
how do i add funds to print account?,printing_services,Via student portal or Library Desk
where are printers located?,printing_services,"Library (24/7), Computer Labs (8 AM–10 PM)"
can i print in color?,printing_services,"Yes, at designated printers"
where can i find printing facilities on campus?,printing_services,"Printers are located in library, IT labs, and Student Union."
are there printing packages?,printing_services,1000 pages for $80 (B&W only)
is double-sided printing available?,printing_services,"Yes, costs 1.5x single-side rate"
what's the price for printing?,printing_services,"B&W: $0.10/page, Color: $0.50/page"
can i print in a3 size?,printing_services,Engineering Lab only ($1.50/page)
can i print my thesis here?,printing_services,"Yes, with binding services ($3–15 extra)"
can i print photos?,printing_services,"Glossy/matte finishes ($1.50/4x6"")"
how do i check printing balance?,printing_services,Check balance through student portal → Printing Services.
can i print on cardstock?,printing_services,"Yes, +$0.75/page for premium paper"
can i print posters?,printing_services,Up to A0 size ($8/sq ft)
can i print double-sided?,printing_services,"Yes, counts as 1.5 pages"
are there 3d printers for student projects?,printing_services,Engineering Lab offers 3D printing at $2/gram material cost.
is there a printing quota?,printing_services,"500 free pages/semester, then pay-per-use"
can i print from my laptop?,printing_services,"Yes, install ""UniPrint"" drivers"
can i print from my phone?,printing_services,"Via ""UniPrint Mobile"" app"
what gpa is required to maintain a scholarship?,scholarship_info,You must maintain a GPA of 3.0 or above to keep your scholarship.
how do i apply for a scholarship?,scholarship_info,Fill the scholarship application form and attach the required documents.
what scholarships are offered by the university?,scholarship_info,"Merit-based, need-based, and sports scholarships are offered."
are need-based scholarships available?,scholarship_info,"Yes, you can apply with income proof and valid documents."
where can i collect my scholarship form?,scholarship_info,Scholarship forms are available at student affairs or can be downloaded online.
can i apply for multiple scholarships?,scholarship_info,"Yes, but only one will be granted if approved."
"is there any scholarship for sports students?,",scholarship_info,"Yes, the university offers merit-based and sports scholarships. Check the Scholarships section on the university website.,"
can i get financial aid mid-semester?,scholarship_info,Only in special cases with proper documentation.
what is the dress code for the sports complex?,sports_info,Proper sports attire and non-marking shoes are mandatory.
can alumni use the student gym?,sports_info,"No, gym access is restricted to currently enrolled students."
are there showers in the gym?,sports_info,Available in all locker rooms; bring your own towel and lock.
where is the gym located on campus?,sports_info,The gym is in the sports complex next to the basketball court.
can i use the university gym in summer?,sports_info,"Yes, the gym is open with summer timings. Student ID is required."
where can i view the sports tournament schedule?,sports_info,Check the sports office board or university app under Events.
can i borrow sports equipment?,sports_info,Check out items with your ID from the Sports Complex front desk.
are there grants for wheelchair sports?,sports_info,Athletic Department offers equipment scholarships.
what's the gym towel service fee?,sports_info,Towel service costs $15/month with unlimited exchanges.
how can i register for university sports events?,sports_info,Registration forms are available at the sports office.
where is the university sports complex?,sports_info,"Behind Block E, near the main football ground."
can i borrow sports gear from the university?,sports_info,"Yes, gear can be issued with your ID card and refundable deposit."
can i use sports facilities in the summer semester?,sports_info,"Yes, but availability might be limited due to maintenance or fewer staff."
is there any gym schedule posted?,sports_info,"Yes, weekly schedule is posted outside Sports Block."
is there a backup bus for late transport?,transport_info,Backup transport is available for major routes during exams only.
are there transportation services during the summer semester?,transport_info,"Yes, but with fewer routes or reduced frequency. Check updated transport schedules."
where can i get a parking sticker?,transport_info,"Apply for parking sticker at the transport office, Block C."
what happens if i lose my parking sticker?,transport_info,Apply for a replacement at the transport office with FIR copy.
do we have university bus to airport?,transport_info,Only during semester breaks; sign-up required.
what are the rules for using university parking?,transport_info,Parking is allowed only in designated student areas with a sticker.
how do i report a broken accessible parking sign?,transport_info,"Report a broken accessible parking sign by submitting a request through campus facilities or the online maintenance system.,"
do university buses operate on sunday?,transport_info,"No, regular routes are Monday–Saturday only."
do we have shuttle buses between campuses?,transport_info,"Yes, shuttles operate hourly between North and South Campus."
can students park in admin lot?,transport_info,"No, admin parking is reserved for faculty/staff only."
can i keep my car on campus overnight?,transport_info,Only with written permission from Transport Office.
can i get a parking refund if i leave early?,transport_info,Pro-rated refunds issued for semesters abandoned with proof of withdrawal.
"can students use university transport for field trips?,",transport_info,"Yes, students may request university transport for academic field trips via department approval.,"
what's the penalty for fake parking permits?,transport_info,Counterfeit permits result in $200 fine and parking ban for 1 year.
what is the transport route for gulshan area?,transport_info,Route maps are available at the transport office or student portal.
where is the university’s shuttle stop located?,transport_info,"In front of the main gate, near the security check."
what are the transport charges for zone 4?,transport_info,"PKR 9,000 per semester for Zone 4."
